식당명,도로명주소
주식회사 식객도시락,서울 동대문구 회기동 42-70
제주삼달리국수,서울 은평구 응암동 89-1
신의주찹쌀순대,서울 은평구 응암동 110-9
찌개랑,서울 동작구 상도동 465-1
면식당 상도점,서울 동작구 상도동 505-4
남강숯불,서울 은평구 신사동 8-32
놀부부대찌개 철판구이,서울 은평구 불광동 274-13
밥먹고,서울 은평구 구산동 26-39
상도 덮밥,서울 동작구 상도1동 792
진국수,서울 은평구 대조동 15-224
운하 진짜전복,서울 동작구 상도동 535
와사비,서울 은평구 갈현동 455-8
라화방 마라탕,서울 은평구 신사동 2-17
순살순정아구찜,서울 관악구 봉천동 1566-3
그란삐아띠,서울 관악구 봉천동 1675-15
돈킴 명인감자탕,서울 관악구 봉천동 1596-1
닭도리어때 봉천점,서울 관악구 봉천동 1539-15
신입파스타 신림점,서울 관악구 봉천동 936-5
대학동 간식,서울 관악구 신림동 1514-9
고바우순대국 감자탕,서울 관악구 신림동 1596-5
장어다,서울 관악구 신림동 587-23
해담촌,서울 관악구 신림동 1641-40
꼴목,서울 관악구 신림동 1522-5
기막힌포차,서울 관악구 신림동 75-25
노고산갈비,서울 마포구 노고산동 107-97
한신우동,서울 마포구 상수동 318-2
추떡,서울 마포구 공덕동 456
쭌곱창,서울 마포구 서교동 332-5
스시앤도시락,서울 마포구 상암동 1605
동궁찜닭 영등포점,서울 영등포구 영등포동7가 208
3월에 우사기,서울 영등포구 영등포동7가 208
와인투고,서울 영등포구 영등포동7가 208
만족오향족발 상암DMC점,서울 마포구 상암동 1596
천지인국밥삼계탕,서울 마포구 상암동 1601
파스치노팬스테이크,서울 마포구 서교동 486
이가네떡볶이,서울 마포구 서교동 442-30
명장수제족발,서울 마포구 성산동 200-361
일미리금계찜닭 천호점,서울 강동구 성내동 38-3
호랭곱창,서울 강동구 성내동 25-1
삼거리,서울 마포구 중동 218
홍춘천 마포구청점,서울 마포구 성산동 591-5
정직유부 마포아현점,서울 마포구 아현동 618-22
백정푸드,서울 마포구 염리동 8-48
(주)민들레진,서울 강서구 화곡동 977-21
짱구한식분식,서울 관악구 신림동 1432-92
쭝식대장 관악점,서울 관악구 신림동 1432-92
이런이궈마라탕,서울 강서구 내발산동 750-10
진도댁,서울 강서구 공항동 45-86
(주) 탑텐코리아,서울 강남구 역삼동 642-1
하타네 마곡나루점,서울 강서구 마곡동 758-2
두찜 신방화점,서울 강서구 마곡동 735
지호한방삼계탕,서울 마포구 합정동 426-7
마싰는끼니 가양역점,서울 강서구 등촌동 628-9
지리산생고기,서울 양천구 목동 405-70
해어랑,서울 강서구 방화동 563-27
(주)삼천리 이엔지,서울 영등포구 여의도동 35-3
신영바베큐,서울 양천구 신월동 113-15
자연풍천장어(주),서울 강서구 방화동 573-7
옥이아구찜,서울 강서구 방화동 562-26
명성왕족발,서울 양천구 신월동 106-39
경식탁,서울 양천구 신월동 160-6
장라멘,서울 양천구 신월동 546-25
부빔,서울 양천구 신정동 1006-1
길씨네가래떡볶이,서울 양천구 신정동 1183-32
명가들깨칼국수,서울 양천구 신정동 1020-15
이립,서울 강서구 마곡동 797-7
바로덮밥 화곡점,서울 강서구 화곡동 24-90
라이라이스 화곡점,서울 강서구 화곡동 24-90
고기듬뿍대왕비빔밥 신정점,서울 양천구 신정동 909-28
코리안숯불바베큐,서울 양천구 신정동 903-26
밥밥디라라목동점,서울 양천구 신정동 908-15
신짱푸드,서울 양천구 목동 405-96
윤반장 용산점,서울 용산구 동자동 9-3
강제로시작한떡볶이,서울 강서구 화곡동 803-23
피슈마라홍탕 군자역점,서울 광진구 능동 276-3
버스컵떡볶이,서울 용산구 청파동2가 56-10
와다라멘 이태원점,서울 용산구 이태원동 34-91
만족오향족발 금호점,서울 성동구 금호동1가 1805
멘부리 신금호점,서울 성동구 금호동2가 465-1
엄마순대,서울 광진구 자양동 239-1
놀부부대찌개 스타시티점,서울 광진구 자양동 227-7
백년손님,서울 용산구 한남동 110-1
마루곱창,서울 용산구 보광동 216-5
샹츠마라 구의직영점,서울 광진구 구의동 252-43
영이떡볶이 앤 김밥,서울 용산구 후암동 55-48
희정보감족,서울 성동구 성수동1가 14-46
효자동설렁탕 이태원점(돈보2),서울 용산구 이태원동 64-33
포나,서울 용산구 한강로2가 422
황가네감자탕,서울 광진구 중곡동 245-22
현진앤푸드,서울 강동구 길동 339-1
만나푸드테크,서울 강동구 길동 339-1
미스터보쌈 앤 스탠딩스테이크 길동점,서울 강동구 길동 333-2
통영돌문어산곰장어,서울 광진구 중곡동 79-10
나무수,서울 강동구 강일동 677
타코멕스,서울 중구 초동 19-9
오키오키국물떡볶이n냉면,서울 강동구 성내동 430-46
최이순 홍어무침,서울 강동구 성내동 417-52
전주맛집,서울 강동구 성내동 428-9
오한수 우육면가 상일점,서울 강동구 상일동 501
황해장님,서울 강서구 화곡동 1020-9
덕이나루,서울 종로구 누하동 27
카우보이,서울 종로구 내수동 75
진족발,서울 중랑구 면목동 151-23
방여사소불고기백반,서울 중랑구 망우동 410-4
종로계림닭도리탕원조 천호점,서울 강동구 천호동 414
약수동해물텀벙,서울 중구 신당동 372-2796
뜨리먼뜨,서울 강서구 화곡동 812-8
 홍연,서울 중구 남창동 46-13
본가장수촌,서울 중랑구 망우동 381-5
북창동 개성칼만두,서울 중구 북창동 92
누리옥,서울 중구 북창동 96
정일백 하노이쌀국수 본점,서울 중구 순화동 217
(주)오랜친구들,서울 중구 서소문동 143
신의주찹쌀순대,서울 중구 서소문동 89
동창야채닭갈비,서울 중랑구 중화동 312-19
목포아구찜,서울 중랑구 신내동 399-3
반포식스 서울시청점,서울 중구 무교동 24-2
브라더 양꼬치&마라탕 동대문,서울 중구 신당동 234-1
천계 닭한마리,서울 중구 무학동 32-2
백미향마라탕 명륜점,서울 종로구 명륜1가 7-19
파스타 마켓,서울 종로구 명륜4가 103-6
진향족발,서울 종로구 종로5가 44-1
흥부가,서울 중구 쌍림동 146-4
서울곰탕,서울 중구 쌍림동 182-75
잘빠진메밀 을지로 직영점,서울 중구 을지로4가 75
연이꼬마김밥,서울 종로구 적선동 80
호앙비엣 (종로5가점),서울 종로구 인의동 48-14
부산 돼지국밥,서울 중구 충무로3가 59-24
내림손삼계탕,서울 중구 을지로6가 18-40
백채김치찌개 동국대점,서울 중구 충무로5가 90
고레카레 을지트윈타워점,서울 중구 을지로4가 323
광화문 도시락,서울 중구 을지로1가 50-1
제육과 콩나물,서울 중구 황학동 583
경복궁미역,서울 종로구 필운동 144-2
홈푸드스토리,서울 종로구 숭인동 336
팔도1991,서울 송파구 가락동 71-3
종로족빨,서울 종로구 관철동 257
돈이 좋아,서울 송파구 거여동 178-139
전유진의 토종 장칼국수,서울 송파구 거여동 178-139
이경레시피,서울 중구 흥인동 3-4
포하이 쌀국수,서울 송파구 거여동 36
선우,서울 송파구 석촌동 21
마싯소,서울 송파구 방이동 47-13
춘천호반닭갈비막국수,서울 송파구 방이동 191-6
뽀까슈,서울 성북구 삼선동5가 410
왕가갈비곰탕,서울 송파구 마천동 50-2
명성곱창,서울 송파구 방이동 111-14
금성분식당,서울 성북구 동선동1가 85-58
엄마손 돼지불백,서울 종로구 동숭동 1-96
총각네 엘스점,서울 송파구 잠실동 19-9
사눅타이,서울 영등포구 여의도동 34-7
엘디에스,서울 영등포구 여의도동 10
황생가칼국수여의도 The-K 타워점,서울 영등포구 여의도동 35-3
토끼 떡볶이,서울 영등포구 여의도동 41-1
설계도,서울 영등포구 여의도동 44-1
푸드나라,서울 영등포구 양평동1가 148-8
주식회사 미스테리쉐프린,서울 영등포구 여의도동 44-2
제비파스타&리조또 마포점,서울 마포구 도화동 173
1992덮밥&짜글이 동여의도점,서울 영등포구 여의도동 45-11
모두의진미족발,서울 영등포구 여의도동 53
파슷타애요 영등포점,서울 영등포구 신길동 188-317
산척동 수제비 문정3호점,서울 송파구 문정동 651
문어집,서울 송파구 잠실동 206-19
장수왕족발,서울 송파구 풍납동 148-1
라라푸드,서울 송파구 장지동 897
포트리스 쌀국수 위례점,서울 송파구 장지동 883
팔당오징어,서울 영등포구 문래동4가 8-3
신머이 쌀국수,서울 영등포구 신길동 92-18
주식회사 델리스코(DELISCO),서울 영등포구 신길동 262-58
상추집,서울 영등포구 신길동 4377
포익스프레스,서울 영등포구 당산동4가 80
뜰아래,서울 동대문구 회기동 105-11
아토키토,서울 송파구 문정동 644-2
주식회사 엔케이앤씨,서울 영등포구 당산동4가 32-14
하루장군,서울 영등포구 양평동4가 97
샐러드하우스,서울 종로구 적선동 156
배떡 잠실새내점,서울 송파구 잠실동 244-12
오복식당 진주향토음식점,서울 송파구 문정동 644
맛고을식당,서울 송파구 풍납동 392
전주콩나물국밥,서울 영등포구 문래동3가 55-20
명동칼국수샤브샤브,서울 동대문구 신설동 74-2
타이반쩜 신림점,서울 관악구 봉천동 492-12
만나식당,서울 동대문구 장안동 369-4
디노딜라잇,서울 동대문구 용두동 236-1
이문동辛냉면,서울 동대문구 이문동 288-53
계팔자,서울 관악구 신림동 508-7
희야곱창,서울 동대문구 휘경동 43-184
북촌손만두,서울 동대문구 장안동 310-1
삼수장어,서울 관악구 봉천동 1620-37
해밍턴 부대찌개,서울 관악구 봉천동 1655-7
곱창옥,서울 관악구 봉천동 1655-7
청담족발 관악점,서울 관악구 봉천동 957-6
갯벌철판낙지,서울 관악구 봉천동 1632-3
방실분식,서울 관악구 신림동 1519-22
한끼,서울 관악구 신림동 509-22
깡통닭갈비,서울 관악구 신림동 1433-69
샐러드킹 주식회사,서울 마포구 도화동 538
연남해장국,서울 마포구 동교동 113-19
발리인망원,서울 마포구 망원동 394-86
뭉치포차 닭발전문점,서울 마포구 망원동 474-10
저-집 망원점,서울 마포구 망원동 57-295
골뱅이 닭컴.짜장,서울 마포구 망원동 57-426
라화쿵부 숙대입구역점,서울 용산구 갈월동 90-17
한남 칼국수,서울 용산구 이태원동 63-42
범벅집,서울 마포구 아현동 326-18
원효해물탕,서울 용산구 원효로2가 90-3
언덕테이블,서울 용산구 보광동 386-1
광희집,서울 중구 광희동1가 154-2
금당실 황소곱창,서울 용산구 이태원동 663
엘리팝 충무로점,서울 중구 충무로4가 132-3
무봉리토종순대국,서울 종로구 도렴동 60
쭈꾸미부대찌개,서울 종로구 동숭동 1-27
혼또카레,서울 종로구 명륜2가 114-1
임현정 창신육회빈대떡,서울 종로구 종로5가 138-8
김가네김밥 서울역KDB점,서울 용산구 동자동 45
신의주 찹쌀순대 종로구청점,서울 종로구 종로1가 24
장충당족발,서울 강서구 등촌동 763
오늘,서울 강서구 공항동 53-58
내여자를부탁해 선릉직영점,서울 강남구 역삼동 707-24
강창구찹쌀진순대 가양역점,서울 강서구 등촌동 628
주식회사 에이치이디푸드,서울 강남구 역삼동 744-18
온마을즉석두부요리,서울 종로구 삼청동 123
숙성김치찜&찌개전문점(밥한민국 건대점),서울 광진구 화양동 113-1
계란집 문정점,서울 송파구 문정동 651
고씨네 문정점,서울 송파구 문정동 643-1
주식회사 신신,서울 송파구 문정동 643-1
델리케밥 (Deli kebab),서울 강서구 마곡동 800-4
여가반상,서울 강서구 마곡동 795-5
진세이우동 마곡점,서울 강서구 마곡동 801-1
모디라키친 마곡점,서울 강서구 마곡동 801-1
한식에 진심,서울 강서구 화곡동 409-9
게고픈날,서울 양천구 목동 794-20
마라연구소 김포공항점,서울 강서구 방화동 495-38
주식회사 일로컴바인(오늘은파스타),서울 송파구 방이동 167-7
화정양꼬치,서울 강서구 화곡동 776-7
쁢깔꼬 울루우,서울 강서구 화곡동 94-5
389윤족발,서울 강서구 화곡동 838-1
불향쭈꾸미,서울 강서구 화곡동 352-4
킹콩샐러드&디저트카페,서울 양천구 신월동 331-101
청록물산,서울 양천구 신월동 494-2
대박곱창,서울 양천구 신정동 1026-2
홍짜장방배점,서울 서초구 방배동 911-1
김치찜 팝니다,서울 은평구 대조동 171-6
미친 짜글이 은평점,서울 은평구 대조동 171-6
코리안 찌개타운 은평점,서울 은평구 대조동 171-6
딘딘향 마라탕 ,서울 성북구 동소문동5가 67-6
민똣,서울 영등포구 당산동1가 55
대림동 숙이네,서울 영등포구 대림동 858-22
병천정순대,서울 영등포구 문래동5가 10
백채 김치찌개,서울 영등포구 신길동 99-6
양복점 선유도역점,서울 영등포구 양평동4가 113
라화쿵부,서울 영등포구 영등포동 618-57
바로키친,서울 영등포구 영등포동7가 208
바로푸드,서울 영등포구 영등포동7가 208
대림동맛집,서울 영등포구 대림동 739-1
봉순이네 메밀막국수.한방수육,서울 영등포구 영등포동7가 208
느린마을양조장당산역점,서울 영등포구 당산동6가 338-2
소보로식당,서울 종로구 무악동 89
파스텔라 강남점,서울 강남구 역삼동 711-6
마이타입 샐러드,서울 종로구 당주동 100
고씨네메밀공방 서울역센트럴자이점,서울 중구 만리동2가 273
조선지24시 찌개마을,서울 용산구 갈월동 92-14
오병이어,서울 성북구 하월곡동 92-3
구구족 강남논현점,서울 강남구 논현동 148-13
디에스 에프앤비,서울 강남구 논현동 278-14
주니냉면,서울 강남구 논현동 278-14
무교동낙지,서울 강남구 도곡동 467-6
주식회사 옥된장 도곡,서울 강남구 도곡동 418
꿈의김밥,서울 서초구 서초동 1565-10
꿈의김밥,서울 강남구 삼성동 140-32
마라쿵쿵,서울 강남구 수서동 723
(주) 에스피엠플러스,서울 강남구 신사동 561-17
초가집삼계탕,서울 강남구 역삼동 696-6
귀족볶음밥,서울 강남구 역삼동 761-18
아구아구,서울 강남구 역삼동 704-44
오늘도 고기국밥,서울 강남구 역삼동 799-18
진전복삼계탕 강남구청점,서울 강남구 논현동 243-5
무교동유정낙지청담점,서울 강남구 청담동 131-10
주식회사 에르미,서울 강남구 청담동 127-19
식자재연구하는사람들,서울 광진구 화양동 113-1
미나리네 오징어,서울 관악구 봉천동 30-3
우발라,서울 강서구 마곡동 793-6
무지개수프,서울 강남구 역삼동 751-13
정 한뿌리죽 키친 삼성점,서울 강남구 삼성동 144-14
수비드 명품 갈비찜,서울 은평구 구산동 15-10
37.5 서래마을점,서울 서초구 반포동 106-8
우돈제주생고기,서울 송파구 오금동 129-22
내담,서울 송파구 풍납동 82-26
창해식탁,서울 강남구 신사동 614-7
오미닭강정,서울 강남구 대치동 316
구도로통닭 서울강서구청점,서울 강서구 화곡동 1115-26
제일면옥,서울 송파구 석촌동 283-3
라이브볼 문래,서울 영등포구 문래동3가 68
소문난 의정부 부대찌개 3호점,서울 동대문구 제기동 137-40
주식회사 에이치203,서울 강남구 대치동 944-21
올라포케 문정본점,서울 송파구 문정동 651
올라포케 강남점,서울 강남구 역삼동 826-37
정갈한 음식점,서울 송파구 석촌동 283-3
올라포케(HolaPoke) 선릉,서울 강남구 대치동 897-36
