식당명,지역명,주차가능,와이파이제공,놀이방,다국어메뉴판,화장실,해시태그,소재지도로명,업태명,주된음식,영업장면적(평),행정동명,소재지전화번호,제로식당
약초마을,서초구,N,N,N,N,N,모범음식점,"서울특별시 서초구 강남대로2길 3, (양재동,1층)",한식,삼계탕,25.0,양재제2동,025775551, 
목포산낙지철판해물,관악구,N,N,N,Y,N,"모범음식점,안심식당","서울특별시 관악구 조원로 125-1, (신림동)",한식,-,27.5,신사동,-, 
양촌리,강서구,Y,Y,Y,N,Y,"모범음식점,안심식당","서울특별시 강서구 화곡로 109, 1~2층 (화곡동)",한식,"돼지갈비, 삼겹살",138.2,화곡제3동,226988592, 
하늘정원더파티,중랑구,Y,Y,N,Y,N,모범음식점,"서울특별시 중랑구 숙선옹주로 6-9, (묵동,묵동자이프라자 1단지 B101~105,B110호)",뷔페,뷔페,261.0,묵제1동,029786677, 
대가원,강서구,Y,Y,N,N,Y,"모범음식점,안심식당","서울특별시 강서구 공항대로 209, 4층 401~405호 (마곡동)",한식,생등심,107.6,가양제1동,236623902, 
대왕참치,성북구,Y,N,N,N,Y,모범음식점,"서울특별시 성북구 종암로19길 6, 2층 (종암동)",일식,참치회 정식,36.9,종암동,029213785, 
할매숯불닭갈비,성북구,N,N,N,N,Y,모범음식점,"서울특별시 성북구 동소문로20길 37-5, 1층 (동선동1가)",주점,닭갈비,16.4,동선동,029289993, 
우주미,은평구,Y,Y,N,N,Y,모범음식점,"서울특별시 은평구 은평로 185, 지하1층 (녹번동)",한식,곰국시,44.4,녹번동,023547788, 
진대감,강남구,N,N,N,Y,Y,"모범음식점,씨트립,트립어드바이저","서울특별시 강남구 테헤란로70길 25, (대치동,지상1층)",한식,차돌삼합,49.8,대치4동,-, 
돈치앤,용산구,N,N,N,N,N,모범음식점,"서울특별시 용산구 효창원로66길 7-8, (효창동,(지상1층))",일식,돈까스,18.1,효창동,231410306, 
서울 명품 민물장어,강북구,N,Y,N,Y,Y,"모범음식점,포장가능","서울특별시 강북구 월계로 19, 1층 (미아동)",한식,장어구이,28.0,송중동,029802225, 
평양면옥,강남구,N,N,N,Y,N,모범음식점,"서울특별시 강남구 논현로28길 28, (도곡동)",한식,냉면,99.9,도곡2동,205711666, 
고시레,중구,N,N,N,Y,N,모범음식점,"서울특별시 중구 명동9길 21, 1층 (명동1가)",한식,등심,63.7,명동,237891357, 
할머니 추어탕,강동구,Y,N,N,N,Y,"모범음식점,안심식당","서울특별시 강동구 구천면로 516, (명일동)",한식,추어탕,49.7,명일제2동,-, 
지우정,강북구,Y,N,N,Y,Y,모범음식점,"서울특별시 강북구 삼각산로 130, (수유동,(가오리길 37))",한식,설렁탕,29.0,수유제3동,029009333, 
담은갈비,송파구,Y,Y,N,N,Y,모범음식점,"서울특별시 송파구 삼전로 93, 지하1층,1층 (잠실동, 태정빌딩(잠실동 다세대주택))",한식,갈비,144.1,잠실본동,024238053, 
내꾸미 쭈꾸미,송파구,Y,N,N,N,Y,모범음식점,"서울특별시 송파구 성내천로 106, 지상1층 (오금동)",한식,쭈구미볶음,73.3,오금동,024436969, 
가득드림,강남구,N,N,N,N,N,모범음식점,"서울특별시 강남구 영동대로 513, 지하1층 M113호 (삼성동, 컨벤션센타 코엑스몰)",분식,도시락,11.9,삼성1동,025518288, 
경성면옥,강남구,N,N,N,Y,N,모범음식점,"서울특별시 강남구 테헤란로87길 36, 도심공항타워 B1층 06호 (삼성동)",한식,"회, 물냉면",32.8,삼성1동,-, 
이학갈비,중랑구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 중랑구 면목로 310, 2층 (면목동)",한식,갈비탕,200.8,면목제7동,024370170, 
양촌리,마포구,Y,N,N,N,Y,"모범음식점,안심식당","서울특별시 마포구 토정로 304, (용강동)",일식,회,122.0,용강동,027010455, 
우리네코다리,양천구,N,N,N,N,N,모범음식점,"서울특별시 양천구 목동서로 349, 센트럴프라자 2층 201호 (신정동)",한식,코다리찜,54.9,신정6동,226508683, 
조향족발,송파구,Y,Y,N,N,Y,모범음식점,"서울특별시 송파구 충민로 5, 1층 112호 (문정동, 송파한화오벨리스크)",한식,족발,12.4,문정1동,024319556, 
하노이의아침,서대문구,N,N,N,N,N,"모범음식점,트립어드바이저","서울특별시 서대문구 연희맛로 10, (연희동,지상1층)",기타,베트남음식,37.8,연희동,-, 
도니족발,송파구,Y,Y,N,N,Y,모범음식점,"서울특별시 송파구 백제고분로41길 45, 지상1층 (송파동)",한식,고기구이,44.9,송파2동,024218576, 
풍년정육점식당,성동구,Y,N,N,Y,Y,모범음식점,"서울특별시 성동구 상원10길 6, (성수동1가)",한식,"소고기, 돼지고기",29.4,성수1가제1동,234092891, 
아방궁,강남구,N,Y,N,Y,Y,-,"서울특별시 강남구 역삼로1길 18, (역삼동,지상2층)",중식,자장면,94.6,역삼1동,025085010, 
먹깨비식당,성동구,Y,N,N,N,Y,-,"서울특별시 성동구 금호산길 49-1, 1층 (금호동2가)",한식,"갈비, 삼겹살",36.5,금호2.3가동,222349888, 
형가원 보쌈족발,동작구,N,N,N,Y,N,"모범음식점,안심식당,포장가능","서울특별시 동작구 동작대로1길 33, (사당동)",한식,보쌈,30.4,사당제1동,234735353, 
장군보쌈,서대문구,N,N,N,N,N,모범음식점,"서울특별시 서대문구 수색로 28-5, (남가좌동)",한식,보쌈,26.8,남가좌제1동,-, 
문성해물짬뽕,도봉구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 도봉구 우이천로 294, A동 (쌍문동)",중식,-,28.0,쌍문제3동,029058999, 
한우일번지,구로구,N,N,N,N,N,모범음식점,"서울특별시 구로구 구로동로28길 25, (구로동)",한식,불고기,16.9,구로제2동,028647066, 
명량,강서구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 강서구 양천로 401, A동 2층 210호 (가양동, 1동 강서한강자이타워)",한식,고등어조림,29.0,가양제1동,226385848, 
대한족발,중랑구,N,N,N,N,N,"모범음식점,안심식당,포장가능","서울특별시 중랑구 사가정로51길 31, (면목동, 1층)",한식,족발,31.8,면목제3.8동,0222092356, 
스시 쥬베이,금천구,N,N,N,N,N,모범음식점,"서울특별시 금천구 가산로 147, 지상1층 105호 (가산동, 가산지웰에스테이트)",일식,초밥,12.6,가산동,-, 
할머니추어탕,송파구,Y,N,N,N,Y,모범음식점,"서울특별시 송파구 석촌호수로 110, 1층,2층 (잠실동)",한식,추어탕,108.5,잠실본동,024211022, 
오뎅식당,송파구,N,N,N,N,N,모범음식점,"서울특별시 송파구 올림픽로 300, (신천동, 캐쥬얼동 지상6층)",기타,부대찌개,51.1,잠실4동,232134623, 
명갈비,동작구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 동작구 상도로31길 83, (상도동)",한식,돼지갈비,53.8,상도제2동,028227656, 
마포참숯불갈비,서대문구,N,N,N,Y,N,모범음식점,"서울특별시 서대문구 응암로 145, (북가좌동,,40)",한식,갈비.삼겹살,21.0,북가좌제2동,-, 
신라삼계탕,강동구,Y,N,N,Y,Y,"모범음식점,안심식당","서울특별시 강동구 성내로6길 14-5, (성내동)",한식,삼계탕,27.2,성내제1동,024703934, 
공수간 코엑스몰,강남구,N,N,N,N,Y,"모범음식점,포장가능","서울특별시 강남구 영동대로 513, 컨벤션센터동 지하1층 H116호 (삼성동, 코엑스몰)",분식,"떡볶이, 순대, 김밥",19.7,삼성1동,-, 
단비,용산구,Y,Y,N,N,N,모범음식점,"서울특별시 용산구 한남대로20길 21-12, 1층 (한남동)",한식,한정식,33.4,한남동,027978375, 
한우리,은평구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 은평구 불광로 40-7, (불광동, 1,2층)",한식,한우,31.4,불광제1동,023839292, 
마실,양천구,Y,Y,N,N,Y,"모범음식점,씨트립,안심식당,포장가능","서울특별시 양천구 목동동로 55, 밀레니엄 프라자 6층 601~603호 (신정동)",한식,한정식,113.7,신정7동,226491800, 
더두툼생고기,강동구,Y,N,N,N,N,"모범음식점,안심식당","서울특별시 강동구 구천면로 666, (상일동,(1층))",한식,삼겹살,32.9,상일제1동,024293774, 
묵동감자바우영양족발,중랑구,N,N,N,N,N,모범음식점,"서울특별시 중랑구 동일로 946, 109,9-1,13호 (묵동, 묵동신도주상복합아파트)",한식,"막국수,족발",33.1,묵제1동,029729566, 
건국갈비,광진구,Y,Y,N,N,N,모범음식점,"서울특별시 광진구 광나루로22가길 18, (화양동)",한식,돼지갈비,16.2,화양동,222010818, 
한울갈비,동작구,Y,Y,N,N,Y,"모범음식점,씨트립,안심식당","서울특별시 동작구 동작대로1길 9, (사당동)",한식,돼지갈비,50.0,사당제1동,025834118, 
웅골,강동구,Y,N,N,N,N,"모범음식점,안심식당","서울특별시 강동구 강동대로53길 18, 2층 (성내동)",한식,샤브샤브,64.9,성내제3동,024868861, 
대호아구집,관악구,Y,N,N,Y,Y,"모범음식점,안심식당","서울특별시 관악구 남부순환로 1829-9, (봉천동)",한식,-,33.4,행운동,028891700, 
두루치기김치찌개,성동구,N,N,N,N,N,모범음식점,"서울특별시 성동구 광나루로 320-1, 나동 1층 (성수동2가)",한식,김치찌개,22.7,성수2가제3동,024622255, 
문화옥,중구,N,Y,N,N,Y,"모범음식점,블루리본","서울특별시 중구 창경궁로 62-5, (주교동)",한식,설렁탕,47.4,을지로동,222650322, 
두둑한샤브칼국수,관악구,Y,Y,N,Y,Y,"모범음식점,안심식당,포장가능","서울특별시 관악구 신림로64길 17, 1층 (신림동)",한식,-,47.9,신림동,028851838, 
송추가마골,은평구,Y,N,N,N,Y,"모범음식점,안심식당,트립어드바이저,포장가능","서울특별시 은평구 북한산로 276, 2층 (진관동)",한식,"고기,냉면",45.8,진관동,023710021, 
잰부닥,강남구,Y,N,N,N,Y,"모범음식점,트립어드바이저","서울특별시 강남구 강남대로42길 13, (도곡동,지상1층)",한식,삼겹살,71.7,도곡1동,025775046, 
흥부골숯불돼지왕갈비,중랑구,Y,N,Y,N,Y,모범음식점,"서울특별시 중랑구 면목로 341, (면목동,1층)",한식,돼지갈비,87.0,면목제3.8동,024914488, 
섬집,용산구,N,N,N,Y,N,모범음식점,"서울특별시 용산구 한강대로14길 18, (한강로3가,(지상1층))",한식,"간장게장, 참게꽃게매운탕",19.8,한강로동,-, 
섬집,용산구,N,N,N,Y,N,모범음식점,"서울특별시 용산구 한강대로14길 8, 2,3,4층 (한강로3가)",한식,보리굴비,136.9,한강로동,027940084, 
고창복의 낙지세상,관악구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 관악구 남부순환로 1725, (봉천동)",한식,-,91.6,은천동,028864242, 
보리보리시골밥상,성북구,N,N,N,Y,N,모범음식점,"서울특별시 성북구 솔샘로1길 19, (정릉동)",한식,가정식 백반,49.0,정릉제1동,-, 
와사비,강동구,N,N,N,Y,N,모범음식점,"서울특별시 강동구 동남로75길 13-21, (명일동)",일식,초밥,20.2,명일제2동,024288838, 
값진식육,영등포구,N,N,N,Y,N,-,"서울특별시 영등포구 선유로 58-4, 1층 (문래동3가)",한식,식육,48.7,문래동,226349288, 
진또배기,송파구,Y,N,N,N,N,"모범음식점,트립어드바이저","서울특별시 송파구 중대로9길 51, 부성빌딩 1층 (가락동)",한식,닭볶음탕,38.1,가락본동,024046888, 
쌈반,동작구,Y,N,N,N,Y,"모범음식점,안심식당","서울특별시 동작구 사당로 215, (사당동, 서림빌딩2층 201호)",한식,쌈밥,39.2,사당제3동,234777225, 
장꼬방,서초구,Y,Y,N,Y,Y,모범음식점,"서울특별시 서초구 강남대로61길 27, 1층 (서초동)",한식,단팥죽,34.9,서초제4동,025975511, 
전주본가영양돌솥밥,성동구,N,N,N,Y,N,모범음식점,"서울특별시 성동구 한림말길 18, (옥수동)",한식,영양돌솥밥,81.8,옥수동,222820220, 
동호일식,성동구,N,N,N,Y,N,모범음식점,"서울특별시 성동구 천호대로 328, (용답동)",일식,모듬회,38.5,용답동,222459616, 
이천농장정육식당,동대문구,N,N,N,N,N,모범음식점,"서울특별시 동대문구 장한로 151, 지상1층 (장안동)",한식,김치찌개,48.2,장안제1동,222123010, 
도야미리,구로구,N,N,N,N,Y,모범음식점,"서울특별시 구로구 신도림로 67, (신도림동)",한식,돼지갈비,93.5,신도림동,226356877, 
한라참치,구로구,N,N,N,Y,N,"모범음식점,안심식당","서울특별시 구로구 경인로20길 7, 1,2,3층 (오류동)",한식,참치회,28.9,오류제1동,226110011, 
개성면옥,구로구,Y,N,N,N,Y,"모범음식점,안심식당","서울특별시 구로구 가마산로 204, (구로동)",한식,냉면,79.9,구로제2동,028692760, 
우미정,금천구,N,N,N,N,N,모범음식점,"서울특별시 금천구 시흥대로138길 19, 지상1층 (독산동)",한식,생선회,28.6,독산제3동,028520107, 
24시뼈다귀탕,송파구,N,N,N,Y,N,모범음식점,"서울특별시 송파구 백제고분로 162, 대양빌딩 104호105호 (잠실동)",한식,뼈다귀감자탕,28.4,잠실본동,024174686, 
명일샤브샤브칼국수,강동구,N,N,N,N,N,-,"서울특별시 강동구 양재대로 1665, (명일동,,305-39)",분식,"버섯매운탕칼국수, 해물칼국수",45.6,명일제1동,234273043, 
낙지전문점무교동홍낙,강동구,Y,N,N,N,Y,"모범음식점,안심식당,포장가능","서울특별시 강동구 강동대로 189, (성내동,남경빌딩1층)",한식,"낙지볶음, 전골",39.9,성내제1동,024867200, 
세종대왕숯불갈비,동작구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 동작구 등용로 2, (상도동)",한식,갈비탕,61.0,상도제2동,028123260, 
세종대왕숯불갈비,동작구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 동작구 여의대방로 136, (대방동)",한식,돼지갈비,228.5,대방동,028232517, 
능이마을,강북구,Y,Y,N,N,Y,"모범음식점,포장가능","서울특별시 강북구 솔샘로 330, (미아동,(솔샘길 7))",한식,오리구이,127.3,송천동,029845300, 
횡성목장,노원구,N,N,N,Y,N,모범음식점,"서울특별시 노원구 노해로75길 14-19, (상계동)",한식,한우등심,27.0,상계6.7동,029355418, 
금화반점,노원구,N,N,N,N,N,"모범음식점,트립어드바이저","서울특별시 노원구 동일로 1352, 3층 (상계동)",중식,중식,57.2,상계6.7동,209383335, 
임진강장어부락,은평구,N,N,N,N,N,모범음식점,"서울특별시 은평구 진흥로 190, 1,2층 (녹번동)",한식,장어,41.6,녹번동,023543282, 
양주큰집전통순대국,도봉구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 도봉구 방학로6길 32, (방학동)",한식,순대국,16.7,방학제1동,234931110, 
만가,종로구,N,N,N,Y,N,모범음식점,"서울특별시 종로구 사직로 103-19, (필운동,(지상1층))",한식,"장어, 생등심",33.3,사직동,027205797, 
나무향기,종로구,Y,N,N,N,Y,"모범음식점,안심식당","서울특별시 종로구 세종대로23길 47, 1층 108호 (당주동)",한식,오리통삼겹 장작구이,103.8,사직동,027238981, 
무교삼계탕,종로구,N,N,N,N,N,"모범음식점,트립어드바이저","서울특별시 종로구 인사동7길 37, (관훈동)",한식,삼계탕,23.1,종로1.2.3.4가동,-, 
한국회관,서초구,Y,N,N,Y,N,모범음식점,"서울특별시 서초구 사평대로18길 10, (반포동,가동 1층,2층)",한식,"한우,탕",106.0,반포제4동,025953355, 
와가마마,동작구,N,N,N,N,N,"모범음식점,안심식당,트립어드바이저","서울특별시 동작구 만양로14길 12, (노량진동)",양식,돈가스,59.6,노량진제1동,028232225, 
전주돌밥추어탕,구로구,Y,N,N,N,Y,모범음식점,"서울특별시 구로구 경인로23길 8, 2층 201호 (오류동, 대서프라자)",한식,추어탕,36.3,오류제1동,226881528, 
수현회집,성동구,N,N,N,N,N,모범음식점,"서울특별시 성동구 무학봉28길 12, 지상1층 (행당동, 286-17)",일식,"생선회, 매운탕",36.9,행당제1동,0222959524, 
홍어천국,중랑구,N,N,N,N,N,모범음식점,"서울특별시 중랑구 면목로 421, 2층 (면목동)",한식,홍어,32.5,면목본동,024364757, 
아야진생태찌개,강남구,Y,N,N,Y,Y,"모범음식점,트립어드바이저,포장가능","서울특별시 강남구 삼성로108길 8, (삼성동,(101호))",한식,생태찌개,56.1,삼성1동,025552680, 
놀부부대찌개,마포구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어 지1층 B1035 A호, B1036일부 호 (상암동)",한식,부대찌개,25.5,상암동,0221328787, 
제임스 키친,노원구,N,Y,N,N,Y,모범음식점,"서울특별시 노원구 노해로81길 12-26, (상계동,삼원빌딩2층)",양식,스파게티,37.1,상계2동,029524748, 
참치애난,강동구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 강동구 천호옛14길 32, (성내동)",일식,참치회,25.0,성내제2동,024843782, 
먹보네쌈밥,노원구,N,N,N,N,N,모범음식점,"서울특별시 노원구 동일로230가길 15, 108,109호 (상계동, 우방아파트상가)",한식,쌈밥,27.4,상계1동,029347151, 
중국성,구로구,N,N,N,Y,N,모범음식점,"서울특별시 구로구 서해안로26길 12, 1층 (오류동)",중식,짜장면,25.7,오류제2동,226856444, 
선사복집,강동구,Y,N,N,N,Y,"모범음식점,안심식당,트립어드바이저,포장가능","서울특별시 강동구 올림픽로 811, (암사동)",일식,"복지리,복찜",59.9,암사제2동,234268810, 
한세희복집,성동구,Y,Y,N,N,Y,모범음식점,"서울특별시 성동구 성수이로7가길 6, 2층 (성수동2가)",한식,복요리전문,49.5,성수2가제1동,024975550, 
씽푸,성북구,N,N,N,N,N,"모범음식점,씨트립,트립어드바이저","서울특별시 성북구 동소문로10길 6, (동소문동3가)",중식,짜장면,20.0,삼선동,-, 
다채,용산구,Y,N,N,N,Y,"모범음식점,포장가능","서울특별시 용산구 녹사평대로 66, (동빙고동,상가동2,3,4,5호(지하3층))",한식,쌈밥정식,58.6,서빙고동,027929233, 
양평해장국,광진구,Y,N,N,N,N,"모범음식점,포장가능","서울특별시 광진구 동일로 402, (중곡동)",한식,해장국,34.6,중곡제3동,029766820, 
등촌샤브칼국수,강서구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 강서구 강서로56가길 65, 아트빌딩 2층 (등촌동)",한식,칼국수,51.0,등촌제3동,226599318, 
화로구이,강서구,Y,N,Y,N,Y,"모범음식점,안심식당","서울특별시 강서구 강서로 374, 1~3층 (등촌동)",한식,돼지갈비,291.8,등촌제3동,236633292, 
크래버대게나라,강남구,Y,N,N,N,Y,"모범음식점,트립어드바이저","서울특별시 강남구 언주로 620, 지상1층 1호 (논현동)",한식,대게,134.2,논현1동,-, 
진짜루,노원구,N,N,N,N,N,모범음식점,"서울특별시 노원구 광운로 33, 지하층 (월계동)",중식,짜장면,49.7,월계1동,029186282, 
남한강물고기,중랑구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 중랑구 양원역로8길 26, (망우동)",한식,매운탕,58.6,망우본동,024346644, 
제주뜰향 갈치전문점,송파구,N,N,N,N,N,모범음식점,"서울특별시 송파구 중대로23길 7, 1층 (가락동)",기타,제주산갈치,38.3,가락1동,024002281, 
기와,용산구,N,N,N,N,N,모범음식점,"서울특별시 용산구 한강대로21나길 40, (한강로3가, 40-712 지상1층)",한식,한정식,395.1,한강로동,027107777, 
도봉산 갈비,도봉구,N,N,N,N,N,포장가능,"서울특별시 도봉구 도봉로 919, (도봉동, 지상1층일부, 2층, 3층전체)",한식,돼지갈비,148.7,도봉제1동,029558668, 
망향비빔국수,강서구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 강서구 양천로 720, 가동 1층 (염창동, 유동빌딩)",한식,비빔국수,79.9,염창동,226596599, 
삼보성,마포구,Y,Y,N,N,Y,"모범음식점,안심식당","서울특별시 마포구 창전로 32, (구수동,외1필지 1층)",중식,-,31.9,신수동,-, 
조수사,강남구,N,N,N,Y,N,모범음식점,"서울특별시 강남구 테헤란로14길 6, (역삼동)",일식,회,68.7,역삼1동,205641133, 
평가옥,종로구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 종로구 새문안로5길 19, 로얄빌딩 지하1층 8,12,13,14호 (당주동)",한식,전골,84.1,사직동,027321566, 
짚터,은평구,N,N,N,N,N,모범음식점,"서울특별시 은평구 갈현로 212, 1층 (갈현동)",한식,삼겹살,28.6,갈현제1동,023562113, 
서초아구찜,서초구,Y,Y,N,N,Y,모범음식점,"서울특별시 서초구 효령로55길 15, 1층 105호 (서초동)",한식,아구찜,19.1,서초제2동,-, 
명동함흥면옥,중구,Y,N,N,N,N,모범음식점,"서울특별시 중구 명동10길 35-19, (명동2가, 1층~2층)",한식,회냉면,57.5,명동,027768430, 
유정우함흥냉면,동작구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 동작구 동작대로29다길 7-1, (사당동, 1층)",한식,냉면,19.7,사당제2동,234780105, 
이조손칼국수,구로구,N,N,N,N,N,모범음식점,"서울특별시 구로구 공원로7길 22, (구로동)",한식,칼국수,15.1,구로제5동,028682633, 
탄뽀뽀,광진구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 광진구 광나루로56길 85, (구의동,테크노마트21 9층38)",일식,초밥,26.9,구의제3동,024074956, 
대청뼈다귀감자탕,강남구,Y,Y,N,Y,Y,모범음식점,"서울특별시 강남구 일원로9길 26, (일원동,지상1층)",한식,뼈다귀 감자탕,20.3,일원1동,024456404, 
윗세오름,송파구,N,N,N,Y,N,모범음식점,"서울특별시 송파구 삼학사로 87, (삼전동)",한식,제주오겹살,16.0,삼전동,024228577, 
금강수림,강남구,Y,Y,N,Y,Y,모범음식점,"서울특별시 강남구 강남대로 240, (도곡동,양재SK허브프리모 지하2층)",한식,장어,86.2,도곡1동,25779992, 
청정옥,성동구,N,N,N,Y,N,모범음식점,"서울특별시 성동구 상원길 19, 104호 (성수동1가, 신한IT타워)",한식,샤브샤브,52.6,성수1가제2동,024683800, 
최강낙지,동대문구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 동대문구 고산자로28길 21, (용두동,지하1층)",한식,낙지비빔밥,40.2,용두동,260806255, 
청춘구락부,마포구,Y,Y,N,Y,Y,"모범음식점,안심식당,포장가능","서울특별시 마포구 토정로 308, 1, 2층 (용강동)",한식,소등심,110.4,용강동,027021399, 
횟집 산이네,은평구,N,Y,N,N,Y,"모범음식점,안심식당","서울특별시 은평구 통일로66길 4-1, 1층 (불광동)",일식,생선회,40.8,불광제1동,023845466, 
백미향,마포구,N,N,N,Y,N,모범음식점,"서울특별시 마포구 성지길 27, (합정동,1층)",중식,-,45.2,합정동,023128253, 
능동순두부,광진구,N,N,N,Y,N,모범음식점,"서울특별시 광진구 동일로60길 24, (군자동)",한식,해물순두부,24.4,군자동,024981753, 
수유감자탕,강북구,N,N,N,Y,N,모범음식점,"서울특별시 강북구 수유로 82, 1층 (수유동)",한식,한정식,30.8,인수동,029040685, 
담쟁이,성동구,N,N,N,N,N,모범음식점,"서울특별시 성동구 왕십리로20길 11-1, (도선동,(1층))",한식,만두전골,16.9,왕십리도선동,222825264, 
서울뚝배기,중구,N,N,N,N,N,모범음식점,"서울특별시 중구 수표로6길 1, (충무로3가)",한식,뚝배기,30.7,필동,222630596, 
마산아구찜,강서구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 강서구 금낭화로 135, 3층 (방화동, 3동)",한식,대구탕,31.1,방화제3동,226651527, 
옛날마차,구로구,Y,Y,N,N,Y,모범음식점,"서울특별시 구로구 디지털로32길 97-16, (구로동)",한식,삼겹살,51.4,구로제3동,028538844, 
함지박,동작구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 동작구 상도로37길 68-1, (상도동)",한식,우렁쌈밥,17.4,상도제1동,028156007, 
청진동 해장국,금천구,Y,Y,N,Y,Y,모범음식점,"서울특별시 금천구 시흥대로 102, 101호 (시흥동)",한식,선지해장국,33.0,시흥제3동,-, 
곱창하우스,성동구,N,N,N,N,N,모범음식점,"서울특별시 성동구 마조로7길 12, (행당동)",한식,곱창요리,18.0,사근동,222924978, 
신의주찹쌀순대,강남구,Y,N,N,N,Y,"모범음식점,트립어드바이저","서울특별시 강남구 양재대로27길 6, (일원동,지상1층)",한식,순대국밥,31.0,일원1동,-, 
나주막회,동대문구,N,N,N,N,N,모범음식점,"서울특별시 동대문구 서울시립대로 62-1, (전농동,지상1층~지하1층)",일식,광어매운탕,42.7,전농제1동,222421310, 
이북집찹쌀순대,용산구,N,N,N,Y,N,모범음식점,"서울특별시 용산구 한강대로40길 19, 2층 (한강로2가)",한식,순대국밥,52.1,한강로동,027930964, 
눈나무집,종로구,N,N,N,Y,N,"모범음식점,안심식당","서울특별시 종로구 삼청로 136-1, 1,2,3층 (삼청동)",한식,"떡갈비,김치말이국수",31.3,삼청동,027396742, 
곱창대장,구로구,Y,N,N,N,N,모범음식점,"서울특별시 구로구 공원로6나길 46, 1층 (구로동)",한식,곱창구이,31.5,구로제5동,028566066, 
명동중일회관,중구,N,N,N,N,N,모범음식점,"서울특별시 중구 퇴계로18길 18, (남산동1가)",한식,한우,13.0,명동,-, 
등촌샤브칼국수,광진구,Y,Y,N,Y,N,모범음식점,"서울특별시 광진구 용마산로 128, (중곡동)",분식,샤브샤브,39.3,중곡제4동,024546889, 
취락한방능이백숙,강서구,N,N,N,Y,N,"모범음식점,안심식당","서울특별시 강서구 화곡로53길 7-8, 1층 (화곡동)",한식,능이백숙,28.0,화곡제6동,226028478, 
은행골,도봉구,Y,N,N,N,Y,"모범음식점,안심식당,포장가능","서울특별시 도봉구 마들로 684, (도봉동, 안세빌딩 101,102호(지상1층))",한식,모듬초밥,19.2,도봉제2동,029554988, 
민스키친,서대문구,Y,N,N,N,Y,모범음식점,"서울특별시 서대문구 연희맛로 7, (연희동)",한식,콩나물냉채,34.0,연희동,-, 
민어사랑,서초구,N,N,N,N,N,"모범음식점,트립어드바이저","서울특별시 서초구 효령로 182-8, 1층 (방배동)",한식,민어탕,49.2,방배제3동,-, 
왕비집,중구,N,Y,N,N,Y,"모범음식점,포장가능","서울특별시 중구 명동8가길 26, 2층 (충무로2가)",한식,소왕갈비,55.4,명동,0237891945, 
오복함흥냉면,용산구,N,N,N,N,N,모범음식점,"서울특별시 용산구 한강대로84길 4, 1층 (남영동)",한식,회냉면,34.6,남영동,027036357, 
대관령 두부마을,강동구,N,Y,N,Y,N,"모범음식점,안심식당","서울특별시 강동구 성안로3길 99, (성내동)",한식,"순두부, 황태구이",36.0,성내제1동,024711331, 
선진국낙지마당,동대문구,N,N,N,N,N,모범음식점,"서울특별시 동대문구 장한로 149-1, (장안동)",한식,-,32.1,장안제1동,222150564, 
봉우리,강남구,Y,Y,N,N,Y,"모범음식점,블루리본","서울특별시 강남구 논현로94길 25-3, (역삼동)",한식,한정식,179.7,역삼1동,-, 
흥부골숯불갈비,동대문구,N,N,N,Y,N,"모범음식점,트립어드바이저","서울특별시 동대문구 장한로 149, (장안동)",한식,돼지갈비,41.8,장안제2동,0222485694, 
배수사,양천구,Y,Y,N,Y,N,"모범음식점,안심식당","서울특별시 양천구 신목로 108-10, 1층 (목동)",일식,생선회,41.2,목1동,226523417, 
동의보쌈칼국수냉면,동대문구,N,N,N,N,N,모범음식점,"서울특별시 동대문구 장한로 157, (장안동)",한식,보쌈,20.6,장안제1동,0222426363, 
만두전빵,성동구,N,N,N,N,N,"모범음식점,트립어드바이저","서울특별시 성동구 행당로15길 2-1, (행당동)",한식,"만두전골, 냉면",42.7,행당제2동,222926882, 
부추삼겹살 딱이야,관악구,N,Y,N,N,N,"모범음식점,안심식당","서울특별시 관악구 신림동5길 49, 1층 (신림동)",한식,-,28.3,신림동,-, 
수서골목냉면,강남구,N,N,N,N,N,모범음식점,"서울특별시 강남구 광평로 232, (수서동,지상1층)",한식,냉면,30.0,수서동,024517157, 
